what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1354357748144
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354357764930
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1354357766074
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavadocView",1354357766105
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1354357767680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354358616231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359082734
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354359085626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359091511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359318957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359421267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359423646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359426409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359500958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359512198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359534500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359536795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1354359570990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359571018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359572743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354359580380
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354359819292
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354359819434
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354359819488
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354359824753
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1354359824909
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354359824946
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1354359827325
